,cook,diet_current_coded,eating_out,sports,exercise,fav_cuisine_coded,on_off_campus,pay_meal_out,fav_food,fruit_day,income,Cluster
110,3.0,2,4,1.0,2.0,1,2.0,4,1.0,3,3.0,1
111,2.0,1,2,2.0,2.0,0,3.0,6,1.0,3,5.0,1
112,1.0,1,4,2.0,1.0,1,1.0,3,3.0,5,6.0,1
113,2.0,2,3,2.0,2.0,1,1.0,3,1.0,4,6.0,1
114,3.0,2,3,1.0,2.0,4,1.0,5,3.0,4,3.0,0
115,4.0,2,2,1.0,1.0,0,1.0,5,3.0,5,6.0,1
116,3.0,2,4,2.0,2.0,4,1.0,3,2.0,5,1.0,0
118,3.0,2,2,2.0,2.0,5,3.0,4,1.0,5,3.0,0
119,2.0,2,2,1.0,2.0,8,1.0,3,3.0,5,2.0,0
120,3.0,2,2,1.0,2.0,1,3.0,4,1.0,5,4.0,1
122,3.0,2,3,2.0,2.0,4,1.0,4,1.0,4,2.0,0
123,3.0,1,5,2.0,1.0,1,1.0,3,3.0,5,4.0,1
