,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,address.houseNumber,position.lat,position.lng,references,address.street,contacts,openingHours
10,Salar E Millat Power Gym,here:pds:place:356tepfc-f22fa4475b4447859c6a29feea67e690,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.38989, 'lng': 78.46158}]",572,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Salar E Millat Power Gym, Katta Maisamma Temple Road, Aghapura, Nampally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Nampally,Aghapura,500001,,17.3898,78.4615,,Katta Maisamma Temple Road,,
11,Power Zone Gym,here:pds:place:356jx7ps-3897e3f8ad07016a4e56c691a3a06b63,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.40023, 'lng': 78.45685}]",816,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Power Zone Gym, Shanthi Nagar Main Road, Chintal Basti-Ac Guards, Khairatabad, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Khairatabad,Chintal Basti-Ac Guards,500004,,17.40023,78.4569,"[{'supplier': {'id': 'core'}, 'id': '1135253637'}]",Shanthi Nagar Main Road,"[{'mobile': [{'value': '+919866778899'}, {'value': '+919866779988', 'categories': [{'id': '800-8600-0191'}]}]}]",
12,MJ MR World Mohtesham Fitness Club,here:pds:place:356tepfc-bdb864a50395492ea6ec69c485520269,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39619, 'lng': 78.45058}]",831,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","MJ MR World Mohtesham Fitness Club, N M D C Road, Humayun Nagar-Venkatadri Nagar Clny, Mehdipatnam, Hyderabad 500028, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mehdipatnam,Humayun Nagar-Venkatadri Nagar Clny,500028,,17.39628,78.45022,,N M D C Road,[{'phone': [{'value': '+917207683069'}]}],
13,Aaira's Beauty Saloon & Fitness Centre,here:pds:place:356tepfc-89bceb22e7dc47faa81abc0992193696,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39704, 'lng': 78.45077}]",833,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Aaira's Beauty Saloon & Fitness Centre, Vijaya Nagar Colony Road, Humayun Nagar-Venkatadri Nagar Clny, Mehdipatnam, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mehdipatnam,Humayun Nagar-Venkatadri Nagar Clny,500057,,17.39705,78.45066,"[{'supplier': {'id': 'core'}, 'id': '1214152982'}]",Vijaya Nagar Colony Road,,
14,Sweat Zone Gym,here:pds:place:356tepfc-816225295fe040768c67cac25b5846c9,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39132, 'lng': 78.46582}]",936,"[{'id': '600-6900-0096', 'name': 'Specialty Store', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Sweat Zone Gym, Bazar Guard X Road, Red Hills-Devi Bagh, Lakdikapul, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Lakdikapul,Red Hills-Devi Bagh,500004,,17.39139,78.46588,,Bazar Guard X Road,[{'phone': [{'value': '+919000000952'}]}],
15,MK World Gym,here:pds:place:356tepfc-51adf5e0d49c47bebd03c25a2934b317,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39169, 'lng': 78.44834}]",942,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","MK World Gym, Anjuman Mehdipatnam Road, Asif Nagar North, Asif Nagar, Hyderabad 500028, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Asif Nagar,Asif Nagar North,500028,,17.3918,78.4484,,Anjuman Mehdipatnam Road,[{'mobile': [{'value': '+919885786839'}]}],
16,Fitness Solutions,here:pds:place:356jx7ps-3701f0277992011ab6548ee9aa864531,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.40198, 'lng': 78.45353}]",1083,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Fitness Solutions, Complex Road, Shanthi Nagar, Masab Tank, Hyderabad 500028, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Masab Tank,Shanthi Nagar,500028,,17.40197,78.45348,"[{'supplier': {'id': 'core'}, 'id': '1135253769'}]",Complex Road,"[{'phone': [{'value': '+914024043898'}], 'mobile': [{'value': '+919550228830'}], 'www': [{'value': 'http://hobbyix.com', 'categories': [{'id': '800-8600-0191'}]}]}]","[{'categories': [{'id': '800-8600-0191'}], 'text': ['Mon-Sun: 05:30 - 21:00'], 'isOpen': False, 'structured': [{'start': 'T053000', 'duration': 'PT15H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
17,Kukatpally Housing Board Ground,here:pds:place:356tepg1-1625da3275e5497a94f931568e62080b,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.40244, 'lng': 78.46074}]",1125,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Kukatpally Housing Board Ground, Chintal Basti-Ac Guards, Khairatabad, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Khairatabad,Chintal Basti-Ac Guards,500004,,17.40247,78.46064,,,,
18,American Dojos,here:pds:place:356tepfc-7f2e1bdb30b14ecf84add2d45bc9dc5e,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39509, 'lng': 78.46707}]",1128,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}, {'id': '800-8600-0196', 'name': 'Sporting Instruction/Camp'}]","American Dojos, Red Hills-Devi Bagh, Lakdikapul, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Lakdikapul,Red Hills-Devi Bagh,500004,,17.395,78.4676,,,"[{'phone': [{'value': '+918328234579'}], 'www': [{'value': 'http://www.americanmartialartscentres.com'}]}]",
19,Leads Fitness Center,here:pds:place:356tepfc-71b3d85f19424bb2b4e2287be712dddc,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39509, 'lng': 78.46707}]",1128,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Leads Fitness Center, Red Hills-Devi Bagh, Lakdikapul, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Lakdikapul,Red Hills-Devi Bagh,500004,,17.395,78.4676,,,[{'phone': [{'value': '+919000115959'}]}],
